word,kelime,english_sentence,turkce_cumle
a,bir,This is a table.,Bu bir masa.
an,bir,This is an apple.,Bu bir elmadır.
ability,yetenek,He has the ability to do this job.,Bu işi yapma yeteneğine sahiptir.
able,hünerli,Are you able to lift this heavy suitcase?,Bu ağır bavulu kaldırabiliyor musunuz?
about,hakkında,This book is about Germany.,Bu kitap Almanya ile ilgili.
accept,kabul etmek,I accepted the wedding invitation.,Düğün davetiyesini kabul ettim.
accident,kaza,The car accident was very bad.,Araba kazası çok kötüydü.
by accident,kazayla,He broke the window by accident.,Pencereyi kazara kırdı.
across,karşısında,She walked across the park.,Parkın karşısında yürüdü.
act,davranmak,He is acting very strangely.,Çok garip davranıyor.
action,aksiyon,You are responsible for your actions.,Eylemlerinizden siz sorumlusunuz.
activity,aktivite,He enjoys all the activities in school.,Okuldaki tüm etkinliklerden hoşlanıyor.
add,eklemek,She added salt to the soup.,Çorbaya tuz ekledi.
address,adres,What is your address?,Adresiniz nedir?
adjective,sıfat,Beautiful is an adjective.,Güzel bir sıfattır.
advantage,avantaj,Speaking English is an advantage.,İngilizce konuşmak bir avantajdır.
aerial,hava,There are 10 TV aerials on the roof.,Çatıda 10 TV antial var.
aeroplane,uçak,This aeroplane flies to Australia.,Bu uçak Avustralya'ya uçuyor.
afraid,korkmuş,He is afraid of snakes.,Yılanlardan korkuyor.
after,sonrasında,After dinner they went to the cinema.,Akşam yemeğinden sonra sinemaya gittiler.
afternoon,öğleden sonra,He went out in the morning and came home in the afternoon.,Sabah dışarı çıktı ve öğleden sonra eve geldi.
again,Tekrar,Can you play that song again?,O şarkıyı tekrar çalabilir misin?
against,aykırı,He threw the ball against the wall.,Topu duvara attı.
age,yaş,Do you know my age?,Yaşımı biliyor musun?
ago,evvel,Two years ago I met him on the street.,İki yıl önce onunla sokakta tanıştım.
agree,kabul etmek,He doesn't agree with me.,Benimle aynı fikirde değil.
air,hava,He threw the ball into the air.,Topu havaya attı.
air-conditioner,klima,This car has automatic air-conditioner.,Bu arabanın otomatik klima var.
airline,havayolu,David always travels by United Airlines.,David her zaman United Airlines tarafından seyahat ediyor.
airplane,uçak,England has bought a lot of airplanes from France.,İngiltere Fransa'dan çok fazla uçak satın aldı.
alike,aynı,Those two bicycles look alike.,Bu iki bisiklet birbirine benziyor.
alive,canlı,Hey! This fish is still alive!,Hey! Bu balık hala yaşıyor!
all,Tümü,She put all her money in the bank.,Tüm parasını bankaya koydu.
all right,Elbette,He was all right after the accident.,Kazadan hemen sonra oldu.
allow,izin vermek,Smoking is not allowed here.,Burada sigara içilmesine izin verilmiyor.
almost,neredeyse,He almost died in the car crash.,Neredeyse araba kazasında öldü.
alone,yalnız,He lives alone.,Yalnız yaşıyor.
along,birlikte,He walked along the road for three kilometres.,Üç kilometre boyunca yol boyunca yürüdü.
aloud,yüksek sesle,She read the book aloud.,Kitabı yüksek sesle okudu.
alphabet,alfabe,There are 26 letters in the English alphabet.,İngiliz alfabesinde 26 harf var.
also,Ayrıca,She sings beautifully and also plays the piano.,Güzel şarkı söylüyor ve aynı zamanda piyanoyu oynuyor.
always,Her zaman,He is always late for school.,Her zaman okula geç kalır.
among,arasında,There was an apple among the oranges.,Portakallar arasında bir elma vardı.
and,Ve,We sang and danced.,Şarkı söyledik ve dans ettik.
angry,sinirli,The teacher was angry with the noisy students.,Öğretmen gürültülü öğrencilere kızgındı.
animal,hayvan,"Cats, dogs, horses, cows and sheep are animals.","Kediler, köpekler, atlar, inekler ve koyunlar hayvandır."
another,bir diğer,Have you got another book?,Başka bir kitabın var mı?
answer,cevap,He answered the question.,Soruyu cevapladı.
ant,karınca,Ants live in large groups.,Karıncalar büyük gruplarda yaşarlar.
any,herhangi,Have you any apples?,Herhangi bir elmanın var mı?
anybody,kimse,Is there anybody at home?,Evde kimse var mı?
anyone,herhangi biri,Has anyone seen my book?,Kitabımı gören var mı?
anything,herhangi bir şey,I don't want anything.,Hiçbir şey istemiyorum.
anywhere,herhangi bir yer,I can't see my jacket anywhere.,Ceketimi hiçbir yerde göremiyorum.
apple,elma,I ate two apples.,İki elma yedim.
aprikot,çiğ,He bought a kilo of apricots.,Bir kilo kayısı aldı.
april,nisan,Mary was born on the first day of April.,"Mary, Nisan ayının ilk gününde doğdu."
are,var olan,You are very kind.,Çok kibarsın.
arm,kol,She broke her arm.,Kolunu kırdı.
armchair,koltuk,This armchair is very comfortable.,Bu koltuk çok rahat.
army,ordu,This lorry belongs to the army.,Bu kamyon orduya ait.
around,etrafında,There were 6 chairs around the table.,Masanın etrafında 6 sandalye vardı.
as,gibi,The play started as I got there.,Oyun oraya varırken başladı.
as ... as,olarak ... AS,I run as fast as he does.,O kadar hızlı koşuyorum.
ask,sormak,She asked me my age.,Bana yaşımı sordu.
at,-den,He is at school.,O okulda.
attention,dikkat,He listened to the teacher with attention.,Dikkatle öğretmeni dinledi.
august,Ağustos,August is the eight month of the year.,Ağustos yılın sekiz ayıdır.
aunt,hala,My mother's sister is my aunt.,Annemin kız kardeşi benim teyzem.
automobile,otomobil,There are too many automobiles in this city.,Bu şehirde çok fazla otomobil var.
autumn,sonbahar,Autumn is the season after summer.,Sonbahar yazdan sonraki mevsimdir.
awake,uyanmak,Are all the children awake?,Tüm çocuklar uyanık mı?
away,uzak,My house is 6 kilometres away.,Evim 6 kilometre uzaklıktadır.
baby,Bebek,The baby is crying.,Bebek ağlıyor.
back,geri,His back is aching.,Sırtı ağrıyor.
bad,kötü,Smoking is a bad habit.,Sigara içmek kötü bir alışkanlıktır.
bag,çanta,They have stolen her bag.,Çantasını çaldılar.
baggage,bagaj,The passenger had a lot of baggage.,Yolcunun çok fazla bagajı vardı.
balcony,balkon,She hung the clothes on the balcony.,Kıyafetleri balkona astı.
ball,top,She threw the ball to her friend.,Topu arkadaşına attı.
balloon,balon,The man is selling balloons.,Adam balon satıyor.
banana,muz,Monkeys like bananas.,Maymunlar muzları sever.
bank,banka,I'll get some money from the bank.,Bankadan biraz para alacağım.
bar,çubuk,I just had a bar of chocolate.,Sadece bir bar çikolata vardı.
barber,berber,The barber cut his hair.,Berber saçlarını kesti.
basic,temel,You should know the basic rules of good driving.,İyi sürüşün temel kurallarını bilmelisiniz.
basket,sepet,She put the eggs in a basket.,Yumurtaları bir sepete koydu.
basketball,Basketbol,Sarah has been playing basketball since she was nine years old.,Sarah dokuz yaşından beri basketbol oynuyor.
bathroom,banyo,There is a shower in the bathroom.,Banyoda bir duş var.
be,olmak,She wants to be a movie star.,Bir film yıldızı olmak istiyor.
bear,ayı,There are bears in the forest.,Ormanda ayılar var.
beautiful,Güzel,Cappadocia is a very beautiful place.,Kapadokya çok güzel bir yer.
because,Çünkü,I took my umbrella because it was raining.,Şemsiyemi aldım çünkü yağmur yağıyordu.
become,haline gelmek,I want to become a computer programmer.,Bilgisayar programcısı olmak istiyorum.
bed,yatak,This bed is more comfortable than the other one.,Bu yatak diğerinden daha rahat.
bedroom,yatak odası,The bedroom had three beds.,Yatak odasında üç yatak vardı.
before,önce,He had his dinner before going out.,Dışarı çıkmadan önce akşam yemeğini geçirdi.
begin,başlamak,That programme always begins at 9 o'clock.,Bu program her zaman saat 9'da başlar.
beginning,başlangıç,The beginning of summer was not very hot.,Yazın başlangıcı çok sıcak değildi.
behind,arka,The chair is behind the table.,Sandalye masanın arkasında.
believe,inanmak,I don't believe him.,Ona inanmıyorum.
best,en iyi,Tom is the best student in the class.,Tom sınıftaki en iyi öğrencidir.
better,daha iyi,John's English is better than Tony's.,John'un İngilizcesi Tony'den daha iyidir.
between,arasında,There is a cinema between the post office and the police station.,Postane ile polis karakolu arasında bir sinema var.
big,büyük,I want a big ice cream.,Büyük bir dondurma istiyorum.
bill,fatura,Can I have the bill please?,Faturayı alabilir miyim lütfen?
bird,kuş,I like birds very much.,Kuşları çok seviyorum.
birthday,doğum günü,When is your birthday?,Doğum günün ne zaman?
biscuit,bisküvi,Can I have some biscuits?,Biraz bisküvi alabilir miyim?
bite,ısırmak,Does your dog bite?,Köpeğiniz ısırır mı?
black,siyah,Her eyes are black.,Gözleri siyah.
blackboard,kara tahta,The teacher wrote the sentences on the blackboard.,Öğretmen cümleleri tahtaya yazdı.
blanket,battaniye,Have you got another blanket?,Başka bir battaniyeniz var mı?
blood,kan,The butcher had blood on his hands.,Kasapın elinde kan vardı.
blue,mavi,Oceans are blue.,Okyanuslar mavidir.
boat,bot,The boat went to Sydney.,Tekne Sydney'e gitti.
body,vücut,He has a strong body.,Güçlü bir vücudu var.
book,kitap,She read the book in two weeks.,Kitabı iki hafta içinde okudu.
bookshop,kitapçı,This bookshop has thousands of books.,Bu kitapçının binlerce kitabı var.
born,doğmak,Albert Einstein was born in 1879.,Albert Einstein 1879'da doğdu.
both,ikisi birden,Both of my sisters are tall.,Her iki kız kardeşim de uzun.
bottle,şişe,The bottle of water is on the table.,Şişe su masanın üzerinde.
box,kutu,I can't lift those heavy boxes.,O ağır kutuları kaldıramıyorum.
boy,erkek çocuk,There are 16 boys and 12 girls in our classroom.,Sınıfımızda 16 erkek ve 12 kız var.
branch,dal,Those trees have very long branches.,Bu ağaçların çok uzun dalları var.
bread,ekmek,Can i have some bread?,Biraz ekmek alabilir miyim?
break,kırmak,Did you break this window?,Bu pencereyi kırdın mı?
break down,bozulma,Our car often breaks down in winter.,Arabamız genellikle kışın bozulur.
breakfast,kahvaltı,I haven't had breakfast yet.,Henüz kahvaltı yapmadım.
bring,getirmek,Bring the paper here.,Makaleyi buraya getirin.
brother,Erkek kardeş,She has two brothers and a sister.,İki erkek kardeşi ve kız kardeşi var.
brown,kahverengi,My girlfriend has beautiful brown eyes.,Kız arkadaşımın güzel kahverengi gözleri var.
brush,fırçalamak,Have you got a brush?,Bir fırçan var mı?
bucket,Kova,Where is the bucket?,Kova nerede?
build,inşa etmek,They are building a new bridge.,Yeni bir köprü inşa ediyorlar.
building,bina,The new building is very high.,Yeni bina çok yüksek.
bus,otobüs,I usually travel by bus.,Genellikle otobüsle seyahat ederim.
business,işletme,Newyork is a business center.,NewYork bir iş merkezidir.
businessman,işadamı,My uncle is a rich businessman.,Amcam zengin bir işadamı.
busy,Meşgul,I'm very busy at the moment.,Şu anda çok meşgulüm.
but,Ancak,"He won, but he was not happy.","Kazandı, ama mutlu değildi."
butcher's,kasap,He worked at a butcher's for six years.,Altı yıl boyunca bir kasapta çalıştı.
butter,tereyağı,Can i have some butter?,Biraz tereyağı alabilir miyim?
buy,satın almak,I always buy bread at the bakery.,Her zaman fırında ekmek alırım.
by,ile,There is a house by the river.,Nehir kenarında bir ev var.
bye,Hoşçakal,I have to go now. Bye!,Şimdi gitmek zorundayım. Hoşçakal!
cafe,kafe,She went to the cafe for lunch.,Öğle yemeği için kafeye gitti.
cafeteria,kafeterya,They make delicious sandwiches in that cafeteria.,O kafeteryada lezzetli sandviçler yapıyorlar.
cake,kek,She made a chocolate cake for his birthday.,Doğum günü için çikolatalı kek yaptı.
calendar,takvim,Calendars show all the days of the year.,Takvimler yılın tüm günlerini gösterir.
call,Arama,They called the baby John.,Bebek John'u aradılar.
camera,kamera,He took a photo with his camera.,Kamerasıyla fotoğraf çekti.
can,olabilmek,I can swim but I can't dive.,Yüzebilirim ama dalamam.
capital,başkent,Madrid is the capital of Spain.,Madrid ispanyanın başkentidir.
car,araba,His car was broken.,Arabası kırıldı.
card,kart,He forgot to take his identity card with him.,Kimlik kartını yanına almayı unuttu.
careful,dikkatli olmak,Be careful when you cross the street.,Caddeyi geçerken dikkatli olun.
carpet,halı,This carpet is very old.,Bu halı çok eski.
carrot,havuç,Rabbits love carrots.,Tavşanlar havuçları sever.
carry,taşımak,Can i carry your bag for you?,Çantanızı senin için taşıyabilir miyim?
cashier,kasiyer,The cashiers in this supermarket are very friendly.,Bu süpermarkette kasiyerler çok arkadaş canlısı.
cat,kedi,Cats have sharp claws.,Kedilerin keskin pençeleri vardır.
catch,yakalamak,The police couldn't catch the robbers.,Polis soyguncuları yakalayamadı.
ceiling,tavan,The ceiling of the house was very low.,Evin tavanı çok düşüktü.
center,merkez,His shop is in the center of the city.,Dükkanı şehrin merkezinde.
central,merkezi,There is no central heating in the room.,Odada merkezi bir ısıtma yoktur.
certain,kesin,Are you certain the train leaves at 9 o'clock?,Tren saat 9'da ayrıldığından emin misiniz?
certainly,kesinlikle,Will you come with me? Certainly.,Benimle gelecek misin? Kesinlikle.
chair,sandalye,He sat on the chair.,Sandalyeye oturdu.
chalk,tebeşir,"Can you bring me some chalk, please?",Bana biraz tebeşir getirebilir misin lütfen?
chance,şans,He has the chance to go to America.,Amerika'ya gitme şansı var.
change,değiştirmek,You have changed a lot.,Çok değişmişsin.
character,karakter,He has a very good character.,Çok iyi bir karakteri var.
cheap,ucuz,This shirt is cheaper than that one.,Bu gömlek bundan daha ucuz.
check,kontrol etmek,He checked his writing for mistakes.,Yazılarını hatalar için kontrol etti.
cheek,yanak,Her cheeks were red.,Yanakları kırmızıydı.
cheerful,neşeli,Mr and Mrs Jones are a cheerful couple.,Bay ve Bayan Jones neşeli bir çift.
cheese,peynir,Have you any cheese?,Peyniriniz var mı?
chemist's,Kimyagerin,She went to the chemist's to get some vitamins.,Biraz vitamin almak için kimyagerlere gitti.
chess,satranç,I want to learn how to play chess.,Satranç çalmayı öğrenmek istiyorum.
chicken,tavuk,My mother is cooking chicken.,Annem tavuk pişiriyor.
child,çocuk,The little child was looking for his mother.,Küçük çocuk annesini arıyordu.
chips,fişek,They ate chips with tomato sauce.,Domates sosu ile cips yiyorlar.
chocolate,çikolata,I want some chocolate.,Biraz çikolata istiyorum.
choose,seçmek,She chose the red dress.,Kırmızı elbiseyi seçti.
church,kilise,Is there a church near here?,Burada bir kilise var mı?
cigarette,sigara,Cigarettes are bad for your health.,Sigaralar sağlığınız için kötüdür.
cinema,sinema,I like going to the cinema.,Sinemaya gitmeyi severim.
city,şehir,Paris is a very interesting city.,Paris çok ilginç bir şehir.
class,sınıf,There are 20 students in the class.,Sınıfta 20 öğrenci var.
classroom,sınıf,How many students are there in the classroom?,Sınıfta kaç öğrenci var?
clean,temiz,These glasses are clean.,Bu gözlükler temiz.
clear,temizlemek,"It was a beautiful, clear day.","Güzel, net bir gündü."
clearly,Açıkça,She can see clearly with her new glasses.,Yeni gözlükleriyle açıkça görebilir.
close,kapalı,She stood close to the window.,Pencereye yakın durdu.
closed,kapalı,All the banks are closed today.,Tüm bankalar bugün kapalı.
cloud,bulut,There are big clouds in the sky.,Gökyüzünde büyük bulutlar var.
cloudy,bulutlu,I don't like cloudy weather.,Bulutlu havayı sevmiyorum.
coffee,Kahve,Turkish coffee is very famous.,Türk kahvesi çok ünlüdür.
coke,kola,There is a lot of sugar in coke.,Kola'da çok fazla şeker var.
cola,Kola,Would you like Coca Cola or Pepsi Cola?,Coca Cola veya Pepsi Cola'yı ister misiniz?
cold,soğuk,The water is rather cold.,Su oldukça soğuk.
collect,TOPLAMAK,He likes collecting stamps.,Pul toplamayı sever.
college,kolej,He went to college when he was 20.,20 yaşındayken üniversiteye gitti.
colour,renk,What is your favourite colour?,En sevdiğin renk nedir?
comb,tarak,I have a comb in my bag.,Çantamda bir tarak var.
come,Gelmek,He doesn't want to come with me.,Benimle gelmek istemiyor.
company,şirket,My father works in a company.,Babam bir şirkette çalışıyor.
competition,yarışma,My brother won the competition.,Kardeşim yarışmayı kazandı.
completely,tamamen,He has forgotten about it completely.,Tamamen unuttu.
computer,bilgisayar,The bank bought a new computer.,Banka yeni bir bilgisayar satın aldı.
condition,durum,The car was in very bad condition.,Araba çok kötü durumdaydı.
continue,devam etmek,Continue with your work!,İşinize devam edin!
control,kontrol,We couldn't control the wild horse.,Vahşi atı kontrol edemedik.
conversation,konuşma,The two men were having a serious conversation.,İki adam ciddi bir konuşma yapıyordu.
copy,kopya,Please copy this letter.,Lütfen bu mektubu kopyalayın.
corner,köşe,She's waiting for her friend on the corner.,Arkadaşını köşede bekliyor.
cornflakes,Mısır gevreği,Many Americans eat cornflakes for breakfast.,Birçok Amerikalı kahvaltıda mısır gevreği yiyor.
correct,doğru,Your answer is correct.,Cevabınız doğru.
cost,maliyet,How much did the television cost?,Televizyonun maliyeti nedir?
cotton,pamuk,They grow cotton in these fields.,Bu alanlarda pamuk yetiştiriyorlar.
cough,öksürük,He has been coughing for a long time.,Uzun zamandır öksürüyor.
could,abilir,He could play football when he was young.,Gençken futbol oynayabilirdi.
could you,yapabildin mi,"Could you pass me the salt, please?",Tuzu uzatır mısınız lütfen?
count,saymak,She can count to 100 in English.,İngilizce 100'e kadar sayabilir.
country,ülke,England is a beautiful country.,İngiltere güzel bir ülke.
cover,kapak,She covered the bed with a blanket.,Yatağı bir battaniye ile kapladı.
cow,inek,We have seventy cows on the farm.,Çiftlikte yetmiş inek var.
cream,krem,Do you want cream on your dessert?,Tatlınızda krema ister misin?
cucumber,salatalık,She cut two cucumbers for salad.,Salata için iki salatalık kesti.
cup,bardak,"Give me a cup of coffee, please.",Bana bir fincan kahve verin lütfen.
customer,müşteri,He is one of our customers.,Müşterilerimizden biri.
cut,kesmek,The bread was cut in half.,Ekmek yarıya indirildi.
dad,baba,I love my mum and dad.,Annemi ve babamı seviyorum.
daily,günlük,Do you read the daily newspapers?,Günlük gazeteleri okuyor musunuz?
dark,karanlık,It was a dark night.,Karanlık bir geceydi.
data,veri,These are very important data about our experiment.,Bunlar deneyimizle ilgili çok önemli verilerdir.
date,tarih,What is the date today?,Bugünün tarihi nedir?
daughter,kız çocuğu,She has two daughters and one son.,İki kızı ve bir oğlu var.
day,gün,I have been here for two days.,İki gündür buradayım.
dead,ölü,They buried the dead man.,Ölü adamı gömdüler.
dear,Sayın,"Dear Joe,","Sevgili Joe,"
death,ölüm,His death was sudden.,Ölümü aniden.
december,Aralık,My friends will visit us in december.,Arkadaşlarım Aralık ayında bizi ziyaret edecek.
decide,karar vermek,Have you decided where to go?,Nereye gideceğine karar verdin mi?
deep,derin,The water is very deep here.,Su çok derin.
dentist,dişçi,The dentist pulled out three teeth.,Diş hekimi üç dişi çıkardı.
dialogue,diyalog,The dialogue in the film was bad.,Filmdeki diyalog kötüydü.
dictionary,sözlük,This dictionary is yours.,Bu sözlük sizindir.
difference,fark,Can you see the difference between those two pictures?,Bu iki resim arasındaki farkı görebiliyor musunuz?
different,farklı,He is different from his brother.,Kardeşinden farklı.
difficult,zor,He asked us difficult questions.,Bize zor sorular sordu.
dinner,akşam yemeği,What did you have for dinner?,Akşam yemeğinde ne yedin?
direction,yön,We lost our direction.,Yönümüzü kaybettik.
director,müdür,Can I talk to your director?,Yönetmeninizle konuşabilir miyim?
dirty,kirli,The beggar's clothes were very dirty.,Dilencinin kıyafetleri çok kirliydi.
disease,hastalık,Dirty water causes disease.,Kirli su hastalığa neden olur.
divided,bölünmüş,"Divide 8 into 4, the answer is 2.","8'i 4'e bölün, cevap 2'dir."
do,Yapmak,What are you doing?,Ne yapıyorsun?
doctor,doktor,The doctor gave me some pills.,Doktor bana biraz hap verdi.
dog,köpek,My neighbour's dog barked all night.,Komşumun köpeği bütün gece havladı.
dollar,dolar,I paid 8 dollars for this shirt.,Bu gömlek için 8 dolar ödedim.
donkey,eşek,The donkey was very stubborn.,Eşek çok inatçıydı.
door,kapı,Lock the door!,Kapıyı kilitlemek!
double,çift,I need a double room.,Çift odaya ihtiyacım var.
down,aşağı,He walked down the stairs.,Merdivenlerden aşağı doğru yürüdü.
draw,çizmek,Draw a cat.,Bir kedi çiz.
drink,içmek,What do you want to drink?,Ne içmek istersin?
drive,sürmek,In England people drive on the left.,İngiltere'de insanlar solda sürüyor.
driver,sürücü,The driver didn't know what was happening.,Sürücü ne olduğunu bilmiyordu.
during,sırasında,He broke his leg during the match.,Maç sırasında bacağını kırdı.
duty,görev,It's your duty to clean the blackboard.,Karayolu temizlemek sizin görevinizdir.
each,her biri,The teacher gave each child an ice-cream.,Öğretmen her çocuğa bir dondurma verdi.
ear,kulak,Elephants have big ears.,Fillerin büyük kulakları var.
early,erken,I got up early this morning.,Bu sabah erken kalktım.
earring,küpe,He had silver earrings.,Gümüş küpeleri vardı.
easily,kolayca,He answered the questions easily.,Soruları kolayca cevapladı.
easy,kolay,Our teacher always asks easy questions.,Öğretmenimiz her zaman kolay sorular sorar.
eat,yemek yemek,What would you like to eat?,Ne yemek istersin?
education,eğitim,The poor man didn't have a good education.,Zavallı adam iyi bir eğitimi yoktu.
egg,Yumurta,He always has eggs for breakfast.,Her zaman kahvaltıda yumurtaları vardır.
else,başka,What else do you want?,Başka ne istiyorsun?
e-mail,e-posta,I got a strange e-mail yesterday.,Dün garip bir e-posta aldım.
employer,iş veren,We have a kind employer.,Nazik bir işverenimiz var.
empty,boş,The room was empty.,Oda boştu.
end,son,The end of the film was sad.,Filmin sonu üzgündü.
energy,enerji,This machine works with electrical energy.,Bu makine elektrik enerjisi ile çalışır.
engine,motor,The plane's engine was burning.,Uçağın motoru yanıyordu.
english,İngilizce,He's English.,O İngilizce.
enjoy,Eğlence,Did you enjoy the film?,Filmden hoşlandın mı?
enough,yeterli,I haven't got enough money to buy a car.,Araba almak için yeterli param yok.
enter,girmek,He entered the room without knocking on the door.,Kapıyı çalmadan odaya girdi.
equal,eşit,Cut the apple into 4 equal pieces.,Elmayı 4 eşit parçaya kesin.
especially,özellikle,I made the cake especially for you.,Pastayı özellikle senin için yaptım.
evening,akşam,Are you going out this evening?,Bu akşam dışarı çıkıyor musun?
every,Her,I work every Saturday.,Her cumartesi çalışıyorum.
everybody,herkes,Everybody was very happy at the party.,Partide herkes çok mutluydu.
everyone,herkes,Everyone has gone to the party except me.,Ben dışında herkes partiye gitti.
everything,her şey,Is everything ready?,Her şey hazır mı?
everywhere,her yer,I looked everywhere but I couldn't find my glasses.,Her yere baktım ama gözlüklerimi bulamadım.
exam,sınav,You have to pass the exam to enter university.,Üniversiteye girmek için sınavı geçmelisiniz.
example,örnek,Can you give me an example?,Bana bir örnek verebilirmisin?
exercise,egzersiz yapmak,Do the exercises at home.,Egzersizleri evde yapın.
explain,açıklamak,Can you explain this to me?,Bunu bana açıklayabilir misin?
extra,ekstra,He did something extra to get the job.,İşi almak için ekstra bir şey yaptı.
eye,göz,She's got blue eyes.,Mavi gözleri var.
eyebrow,kaş,He raised his eyebrows.,Kaşlarını kaldırdı.
eyelash,kirpik,You've got beautiful eyelashes.,Güzel kirpikleriniz var.
eyelid,göz kapağı,She has black eyelids.,Siyah göz kapakları var.
face,yüz,Her face is very pretty.,Yüzü çok güzel.
fact,hakikat,We want to know the fact.,Gerçeği bilmek istiyoruz.
fall,düşmek,Be careful or you will fall.,Dikkatli olun yoksa düşeceksin.
family,aile,There are 5 people in my family.,Ailemde 5 kişi var.
far,uzak,How far is the village from here?,Köy buradan ne kadar uzakta?
father,baba,My father is 40 years old.,Babam 40 yaşında.
father-in-law,kayınpeder,My father-in-law is in textile business.,Kayınpederim tekstil işinde.
fault,arıza,I'm sorry. It's my fault.,Üzgünüm. Bu benim hatam.
february,Şubat,February is the shortest month of the year.,Şubat yılın en kısa ayıdır.
feed,beslemek,We have enough food to feed many people.,Birçok insanı beslemek için yeterli yemeğimiz var.
feel,hissetmek,I feel very happy today.,Bugün çok mutlu hissediyorum.
feeling,his,You hurt my feelings.,Duygularımı incittin.
feet,ayak,Wash your feet before you go to bed.,Yatmadan önce ayaklarınızı yıkayın.
ferry,feribot,Is there a ferry to the island?,Adaya bir feribot var mı?
few,bir kaç,Few people enjoyed the opera last night.,Dün gece operadan çok az insan keyif aldı.
